id,name,category,duration,latitude,longitude,tags
0,경포해변,tourist_attraction,2,37.8054953,128.9082081,1
1,중앙시장,tourist_attraction,2,37.753562,128.8983903,3
2,남이섬,tourist_attraction,4,37.7900782,127.5262228,2
3,하슬라아트월드,tourist_attraction,3,37.7054563,129.0078448,4
4,서피비치,tourist_attraction,3,38.0280602,128.7175896,5
5,쏠비치 양양 오션플레이,tourist_attraction,3,38.0879645,128.6665957,5
6,도째비골 해랑전망대,tourist_attraction,2,37.5542823,129.120341,6
7,논골담길,tourist_attraction,2,37.5528728,129.1164779,7
8,대관령양떼목장,tourist_attraction,4,37.688846,128.7530098,8
9,정동진,tourist_attraction,3,37.6925306,129.0317609,1
10,속초관광수산시장,tourist_attraction,2,38.2039881,128.590598,3
11,초당할머니순두부,restaurant,2,37.7905247,128.9153261,
12,봉포머구리집,restaurant,2,38.2187932,128.5932889,
13,경포대게횟집,restaurant,2,37.8019475,128.9109369,
14,수산항물회,restaurant,2,38.0479759,128.6863333,
15,청초수물회 속초본점,restaurant,2,38.1921462,128.5905385,
16,죽도식당,restaurant,2,37.970369,128.7604843,
17,싱글핀 에일웍스,restaurant,2,38.0234315,128.7227319,
18,카페 툇마루,cafe,2,37.7928911,128.9144756,
19,감자밭,cafe,2,37.9296125,127.7844985,
20,예쁘다 하조대,cafe,2,38.0234301,128.7219675,
21,플리즈웨잇,cafe,2,37.9685935,128.7619413,
22,메밀라운지,cafe,2,37.9676567,128.7613741,
23,속초751샌드위치 본점,cafe,2,38.2056225,128.576724,
24,테라로사 커피공장 강릉본점,cafe,2,37.6964984,128.8920266,
25,씨마크호텔,accommodation,1,37.7980351,128.9151714,
26,체스터톤스속초,accommodation,1,38.1943159,128.5800413,
27,쏠비치 양양,accommodation,1,38.0869949,128.6655974,
